0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:27:49 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:27:49 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:27:59 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:27:59 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:27:59 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:28:40 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:28:40 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:28:40 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:30:16 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:30:16 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:30:16 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:37:04 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:37:04 +0900] "GET /stubyhtml5/ch03/sweeping.png HTTP/1.1" 200 18420
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:37:04 +0900] "GET /stubyhtml5/ch03/maditation.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:37:04 +0900] "GET /stubyhtml5/ch03/triangle.png HTTP/1.1" 200 48111
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:37:04 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:37:04 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:01 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:01 +0900] "GET /stubyhtml5/ch03/sweeping.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:01 +0900] "GET /stubyhtml5/ch03/meditation.png HTTP/1.1" 200 21972
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:01 +0900] "GET /stubyhtml5/ch03/triangle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:01 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:01 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:30 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:30 +0900] "GET /stubyhtml5/ch03/sweeping.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:30 +0900] "GET /stubyhtml5/ch03/meditation.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:30 +0900] "GET /stubyhtml5/ch03/triangle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:30 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:38:30 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:39:53 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:39:53 +0900] "GET /stubyhtml5/ch03/meditation.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:39:53 +0900] "GET /stubyhtml5/ch03/sweeping.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:39:53 +0900] "GET /stubyhtml5/ch03/triangle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:39:53 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:39:53 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:40:21 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:40:21 +0900] "GET /stubyhtml5/ch03/meditation.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:40:21 +0900] "GET /stubyhtml5/ch03/sweeping.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:40:21 +0900] "GET /stubyhtml5/ch03/triangle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:40:21 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:40:21 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
